Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Unnamed: 34
Anthony Lozano,hn HON,FW,30,3.0,2,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Almeria-Stats
Marko Milovanovic,rs SRB,"FW,MF",20,8.0,1,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Bruno Langa,mz MOZ,DF,26,2.0,1,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Sran Babic,rs SRB,DF,27,1.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Diego Marino,es ESP,GK,33,1.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Jonathan Viera,es ESP,MF,34,1.0,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Marciano Sanca,gw GNB,"FW,MF",19,6.0,0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Luka Romero,ar ARG,FW,19,2.0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Rachad Fettal,ma MAR,FW,19,1.0,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almeria-Stats
Arvin Appiah,eng ENG,"FW,MF",23,0.0,0,,,,,,,,,,Almeria-Stats
Gui Guedes,pt POR,MF,21,0.0,0,,,,,,,,,,Almeria-Stats
Bruno Iribarne,es ESP,GK,19,0.0,0,,,,,,,,,,Almeria-Stats
Marcos Pena,es ESP,MF,19,0.0,0,,,,,,,,,,Almeria-Stats
Paco Sanz,es ESP,DF,19,0.0,0,,,,,,,,,,Almeria-Stats
Martin Svidersky,sk SVK,MF,21,0.0,0,,,,,,,,,,Almeria-Stats
Squad Total,,,25.9,25.0,275,2250.0,23.0,14.0,37.0,22.0,1.0,1.0,64.0,3.0,Almeria-Stats
Opponent Total,,,27.6,25.0,275,2250.0,52.0,35.0,87.0,46.0,6.0,9.0,47.0,3.0,Almeria-Stats
